#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2019 07 14 10 30 00 1 5658.446
2019 07 14 10 15 00 1 5658.353
2019 07 14 10 00 00 1 5658.262
2019 07 14 09 45 00 1 5658.170
2019 07 14 09 30 00 1 5658.087
2019 07 14 09 15 00 1 5657.991
2019 07 14 09 00 00 1 9999.000
2019 07 14 08 59 00 2 5657.901
2019 07 14 08 58 00 2 5657.896
2019 07 14 08 57 00 2 5657.890
2019 07 14 08 56 00 2 5657.885
2019 07 14 08 55 00 2 5657.879
2019 07 14 08 54 00 2 5657.875
2019 07 14 08 53 00 2 5657.869
2019 07 14 08 52 00 2 5657.863
2019 07 14 08 51 00 2 5657.857
2019 07 14 08 50 00 2 5657.851
2019 07 14 08 49 00 2 5657.846
2019 07 14 08 48 00 2 5657.843
2019 07 14 08 47 00 2 5657.839
2019 07 14 08 46 00 2 5657.834
2019 07 14 08 45 00 2 5657.829
2019 07 14 08 45 00 1 9999.000
2019 07 14 08 44 00 2 5657.824
2019 07 14 08 43 00 2 5657.818
2019 07 14 08 42 00 2 5657.813
2019 07 14 08 41 00 2 5657.809
2019 07 14 08 40 00 2 5657.804
2019 07 14 08 39 00 2 5657.799
2019 07 14 08 38 00 2 5657.794
2019 07 14 08 37 00 2 5657.789
2019 07 14 08 36 00 2 5657.784
2019 07 14 08 35 00 2 5657.779
2019 07 14 08 34 00 2 5657.773
2019 07 14 08 33 00 2 5657.768
2019 07 14 08 32 00 2 5657.765
2019 07 14 08 31 00 2 5657.762
2019 07 14 08 30 00 2 5657.757
2019 07 14 08 30 00 1 9999.000
2019 07 14 08 29 00 2 5657.752
2019 07 14 08 28 00 2 5657.747
2019 07 14 08 27 00 2 5657.743
2019 07 14 08 26 00 2 5657.738
2019 07 14 08 25 00 2 5657.734
2019 07 14 08 24 00 2 5657.730
2019 07 14 08 23 00 2 5657.726
2019 07 14 08 22 00 2 5657.721
2019 07 14 08 21 00 2 5657.718
2019 07 14 08 20 00 2 5657.713
2019 07 14 08 19 00 2 5657.708
2019 07 14 08 18 00 2 5657.703
2019 07 14 08 17 00 2 5657.699
2019 07 14 08 16 00 2 5657.696
2019 07 14 08 15 00 2 5657.694
2019 07 14 08 15 00 1 9999.000
2019 07 14 08 14 00 2 5657.690
2019 07 14 08 13 00 2 5657.686
2019 07 14 08 12 00 2 5657.682
2019 07 14 08 11 00 2 5657.677
2019 07 14 08 10 00 2 5657.674
2019 07 14 08 09 00 2 5657.669
2019 07 14 08 08 00 2 5657.664
2019 07 14 08 07 00 2 5657.662
2019 07 14 08 06 00 2 5657.658
2019 07 14 08 05 00 2 5657.654
2019 07 14 08 04 00 2 5657.652
2019 07 14 08 03 00 2 5657.648
2019 07 14 08 02 00 2 5657.642
2019 07 14 08 01 00 2 5657.640
2019 07 14 08 00 00 2 5657.638
2019 07 14 08 00 00 1 9999.000
2019 07 14 07 59 00 2 5657.636
2019 07 14 07 58 00 2 5657.632
2019 07 14 07 57 00 2 5657.629
